bits,group_size,bias_bits,index,value
2,2,8,69,-0.10371818393468857
2,2,8,70,-0.099804297089576721
2,2,8,71,-0.099804297089576721
2,2,8,72,-0.095890410244464874
2,2,8,73,-0.095890410244464874
2,2,8,74,-0.091976523399353027
2,2,8,75,-0.08806263655424118
2,2,8,76,-0.08806263655424118
2,2,8,77,-0.084148749709129333
2,2,8,78,-0.084148749709129333
2,2,8,79,-0.080234862864017487
2,2,8,80,-0.080234862864017487
2,2,8,81,-0.076320916414260864
2,2,8,82,-0.076320916414260864
2,2,8,83,-0.072407029569149017
2,2,8,84,-0.072407029569149017
2,2,8,85,-0.06849314272403717
2,2,8,86,-0.06849314272403717
2,2,8,87,-0.064579255878925323
2,2,8,88,-0.064579255878925323
2,2,8,89,-0.060665369033813477
2,2,8,90,-0.060665369033813477
2,2,8,91,-0.05675148218870163
2,2,8,92,-0.05675148218870163
2,2,8,93,-0.052837595343589783
2,2,8,94,-0.052837595343589783
2,2,8,95,-0.048923708498477936
2,2,8,96,-0.048923708498477936
2,2,8,97,-0.048923708498477936
2,2,8,98,-0.045009821653366089
2,2,8,99,-0.045009821653366089
2,2,8,100,-0.041095875203609467
2,2,8,101,-0.041095875203609467
2,2,8,102,-0.041095875203609467
2,2,8,103,-0.03718198835849762
2,2,8,104,-0.03718198835849762
2,2,8,105,-0.033268101513385773
2,2,8,106,-0.033268101513385773
2,2,8,107,-0.029354214668273926
2,2,8,108,-0.029354214668273926
2,2,8,109,-0.029354214668273926
2,2,8,110,-0.025440327823162079
2,2,8,111,-0.025440327823162079
2,2,8,112,-0.021526440978050232
2,2,8,113,-0.021526440978050232
2,2,8,114,-0.017612554132938385
2,2,8,115,-0.017612554132938385
2,2,8,116,-0.017612554132938385
2,2,8,117,-0.013698607683181763
2,2,8,118,-0.013698607683181763
2,2,8,119,-0.0097847208380699158
2,2,8,120,-0.0097847208380699158
2,2,8,121,-0.0097847208380699158
2,2,8,122,-0.0058708339929580688
2,2,8,123,-0.0058708339929580688
2,2,8,124,-0.0019569471478462219
2,2,8,125,-0.0019569471478462219
2,2,8,126,-0.0019569471478462219
2,2,8,127,0.001956939697265625
2,2,8,128,0.001956939697265625
2,2,8,129,0.0058708265423774719
2,2,8,130,0.0058708265423774719
2,2,8,131,0.0097847133874893188
2,2,8,132,0.0097847133874893188
2,2,8,133,0.0097847133874893188
2,2,8,134,0.013698630034923553
2,2,8,135,0.013698630034923553
2,2,8,136,0.0176125168800354
2,2,8,137,0.0176125168800354
2,2,8,138,0.0176125168800354
2,2,8,139,0.021526403725147247
2,2,8,140,0.021526403725147247
