format,bits,group_size,bias_bits,scale_mode,scale_normalization,residual_scale,distortion
lloyd_max,2,32,2,,,,0.09847288578748703
lloyd_max,2,32,3,,,,0.095133773982524872
lloyd_max,2,32,4,,,,0.093849502503871918
lloyd_max,2,32,6,,,,0.092625763267278671
lloyd_max,2,32,8,,,,0.092561565339565277
lloyd_max,3,32,,,,,0.028601929545402527
lloyd_max,3,32,2,,,,0.023792630061507225
lloyd_max,3,32,3,,,,0.02305174246430397
lloyd_max,3,32,4,,,,0.022259410470724106
lloyd_max,3,32,6,,,,0.021857459098100662
lloyd_max,3,32,8,,,,0.021698165917769074
lloyd_max,4,32,,,,,0.0067992475815117359
lloyd_max,4,32,2,,,,0.0059541165828704834
lloyd_max,4,32,3,,,,0.0055791609920561314
lloyd_max,4,32,4,,,,0.0052913529798388481
lloyd_max,4,32,6,,,,0.0050781115423887968
lloyd_max,4,32,8,,,,0.0050454247975721955
lloyd_max,6,32,,,,,0.00056300731375813484
lloyd_max,6,32,2,,,,0.00041575887007638812
lloyd_max,6,32,3,,,,0.00042863946873694658
lloyd_max,6,32,4,,,,0.00037144630914554
lloyd_max,6,32,6,,,,0.00033177374280057847
lloyd_max,6,32,8,,,,0.00032423100856249221
lloyd_max,8,32,,,,,4.3810076022055e-05
lloyd_max,8,32,2,,,,3.6875346268061548e-05
lloyd_max,8,32,3,,,,3.1471416150452569e-05
lloyd_max,8,32,4,,,,2.6015433832071722e-05
lloyd_max,8,32,6,,,,2.0877956558251753e-05
lloyd_max,8,32,8,,,,2.0142853145443951e-05
lloyd_max,2,64,,,,,0.11819460988044739
lloyd_max,2,64,2,,,,0.1088273897767067
lloyd_max,2,64,3,,,,0.10700353235006332
lloyd_max,2,64,4,,,,0.10628154873847961
lloyd_max,2,64,6,,,,0.1056192871183157
lloyd_max,2,64,8,,,,0.10562574118375778
lloyd_max,3,64,,,,,0.03178023174405098
lloyd_max,3,64,2,,,,0.028035055845975876
lloyd_max,3,64,3,,,,0.027206340804696083
lloyd_max,3,64,4,,,,0.026796182617545128
lloyd_max,3,64,6,,,,0.026498463936150074
lloyd_max,3,64,8,,,,0.026377422269433737
lloyd_max,4,64,,,,,0.0077178808860480785
lloyd_max,4,64,2,,,,0.0070932875387370586
lloyd_max,4,64,3,,,,0.0066063180565834045
lloyd_max,4,64,4,,,,0.0064356653019785881
lloyd_max,4,64,6,,,,0.0063019786030054092
lloyd_max,4,64,8,,,,0.006271519378060475
lloyd_max,6,64,,,,,0.00069286167854443192
lloyd_max,6,64,2,,,,0.00058704830007627606
lloyd_max,6,64,3,,,,0.00053394731367006898
lloyd_max,6,64,4,,,,0.00049666588893160224
lloyd_max,6,64,6,,,,0.0004673093935707584
lloyd_max,6,64,8,,,,0.0004619471565092681
lloyd_max,8,64,,,,,6.3071129261516035e-05
lloyd_max,8,64,2,,,,5.2348987082950771e-05
lloyd_max,8,64,3,,,,4.6088694944046438e-05
lloyd_max,8,64,4,,,,3.8937410863582045e-05
